id,name,description,address,city,state,state1,zip_code,telephone1,email1,website1,website_screenshot_url,uuid_id,name_slug,approved,services,certification,business_products_services
674,metroenergysolutions.com,Not specified,"1140 Bloomfield Avenue, Suite 200, West Caldwell, NJ, 07006",Not specified,New Jersey,NJ,7006,405 236 2121,,https://www.metroenergysolutions.com,,,,,,,Not specified
675,"Metro Express Solar, LLC","Metro Express Solar, proud to be Texan, serving Texans. Solar Service Pro Our team of experts is dedicated to delivering top-tier solar solutions tailored to your unique needs. Energy Efficiency Harnessing the power of the sun for a greener future. Energy Independence Save big on your electricity costs with Metro Express Solar.","506 North Road Kennedale, Suite B, Kennedale, Texas, 76060",Kennedale,Texas,TX,76060,682 24 1811,sales@metroexpresssolar.com,https://www.metroexpresssolar.com,,,,,,,"Professional Commercial and Residential Solar Panel Installation, Cost and financing options available, Solar ROI Analysis, Solar Panel Recommendations"
676,Mexico Energy Partners LLC,"Mexico Energy Partners is committed to helping businesses achieve their energy goals while optimizing costs and reducing their environmental impact. As Mexico’s leading energy consulting firm, we offer expert guidance in energy procurement, sustainability, and energy efficiency to help your company thrive in the rapidly evolving energy landscape.","30, Wall Street, New York, 10005",New York,New York,NY,10005,52 55 8652 8023,info@mexicoenergypartners.com,https://www.mexicoenergyllc.com.mx/,,,,,,,"Energy Procurement, Onsite Solar, Energy Efficiency, Electric Mobility, Renewable Energy Consulting"
677,Meyer & Sons,"Meyer & Sons is a premier Design/Build partner on Cape Cod, MA, specializing in custom home design and construction. They handle every aspect of your project, from new construction and remodeling to septic solutions and solar installations. Meyer & Sons is committed to excellence and understanding the unique intricacies of your home development needs.","852 Main St, West Dennis, MA, 02670",West Dennis,Massachusetts,MA,2670,508 362 222,info@meyerandsons.com,https://www.meyerandsons.com,,,,,,,"Custom home design and construction, new construction, remodeling, septic solutions, solar installations, Homewatch property management, pre-construction design services, building & construction, real estate sales & rentals, septic design, small jobs, HERS"
678,MFLR Energy,"MFLR Energy is dedicated to promoting sustainable energy solutions and reducing customers' environmental impact. With over 10 years of experience, they specialize in helping homeowners switch to clean, renewable energy.","125 South State Road 7, Suite 104-222, Wellington, FL, 33414",Wellington,Florida,FL,33414,561 244 453,Contact@MFLRenergy.com,https://www.mflrenergy.com,,,,,,,"MFLR Energy offers residential solar panel solutions, including customized solar panel systems, energy storage solutions, and roofing options. They provide no-money-down options, tax credits, and professional installation services."
679,MG Power Solutions,"MG Power Solutions is a leading provider of electrical installation and service repair for both residential and commercial properties. Our team of experienced and licensed electricians are dedicated to providing high-quality, reliable and efficient electrical solutions to meet the unique needs of each of our clients. Whether you are dealing with a minor electrical issue in your home or need to install a complex electrical system for your commercial property, MG Power Solutions has the expertise and resources to get the job done. With a commitment to customer satisfaction and a focus on safety, Electric Solutions is the smart choice for all of your electrical needs.","942 NE 120 Street, Miami FL 33161",Miami,Florida,FL,33161,786 218 6617,jgarcia@mgpowersolutions.com,https://www.mgpowersolutions.com,,,,,,,"Residential Electrical System Installation, Electrical System Maintenance and Repair, Electrical Panel Upgrades, Solar Energy System Installation, Lighting Installation, EV Charging Station Installation, Upgrades, LED Lighting Installation, Outlet and Switch Upgrades, Circuit Distribution Improvement, Surge Protection System, Grounding System Upgrade, Old Wiring Replacement, Electrical Capacity Upgrade, Landscape Lighting, Security Lighting, Emergency Lighting, Ceiling Lighting, Dimmer Switch Installation, Cabinet and Shelf Lighting, Faster Charging, Convenient Charging, Reduced Costs, Increased Property Value, Improved Energy Efficiency, Solar Panels Installation, Cost Savings, Environmental Sustainability, Energy Independence, Incentives, Low Maintenance, Solar Panels cleaning, Increased Energy Production, Extended Lifespan, Improved Aesthetics, Enhanced Safety, Better Performance, Reduced Maintenance Costs"
680,"MGM Solar Maintenance & Services, LLC","Experienced and professional solar maintenance services with a commitment to customer satisfaction. Licensed, bonded, and insured. Offers free quotes and 24/7 availability. Dedicated to efficient and high-quality service.","Lauderdale Lakes, FL, 33311",Lauderdale Lakes,Florida,FL,33311,54 842 018,info@mgmsolarmaintenancellc.com,https://www.mgmsolarmaintenancellc.com,,,,,,,"Solar Roofing, Solar Panel Cleaning, Solar Sub Contractor – Residential & Commercial, Solar Parking Lot Lighting"
681,Mainstream Green Solutions,"Mainstream Green Solutions has been a veteran-owned and operated company since 2009, providing quality, reliable solar systems designed to last. The company has obtained various certifications, including Sharp Solar Certification and NABCEP PV Installation Professional Certification. They offer long-term solar benefits, including reduced electric bills and backup power during outages.","Lexington, TN",Jackson,Tennessee,TN,38305,731 67 1665,info@mainstreamgreensolutions.com,https://www.mainstreamgreensolutions.com,,,,,,,"Mainstream Green Solutions offers a range of services including energy consulting, PV system service, EMP protection, and various case studies. They specialize in residential and commercial solar installations, including off-grid and hybrid power solutions. Their products include Sol-Ark Whole Home 15KW Inverters and other solar-related equipment."
682,MH Electrical and Solar,"MH Electrical and Solar is a trusted electrical and solar contractor offering a range of services from residential and commercial electrical work to solar panel installation and energy solutions. The company is fully licensed, insured, and bonded, with a team of well-trained and knowledgeable electricians.","2806 N. Speer Blvd, Denver, Colorado, 80211",Denver,Colorado,CO,80211,303 15 014,info@mhelectricalandsolar.com,https://www.mhelectricalandsolar.com,,,,,,,"Electrical and Solar Services, including Residential and Commercial Electrical Work, Solar Panel Installation, Solar Energy Benefits, Tesla Powerwall, Electrical Vehicle Charging"
683,Mh3 Solar LLC,We are a family-owned solar company located in Knox County serving all of Ohio.,"14582 Montgomery Road, Fredericktown, Ohio, 43019",Fredericktown,Ohio,OH,43019,740 504 26,mh3solar@gmail.com,https://www.mh3solar.com,,,,,,,"We assist homeowners, farmers, and businesses in finding the best solution for their budget and specific needs. Along with providing valuable insight on grants, tax credits, and financing. We offer high-quality American-made products with top-notch customer service."
684,MHI Roofing,"Established in 1979, MHI Roofing provides quality roofing services with top-quality craftsmanship, a leak-free guarantee, and affordable financing options. They are leading roofing contractors with an A+ rating from the BBB.","300 Mt Lebanon Blvd, Suite 225-A, Pittsburgh, PA, 15234","Pittsburgh, Morgantown",Pennsylvania,PA,"15108, 26508","412 12 1813, 681 23 3457",,https://www.mhiroof.com,,,,,,,"Residential Roofing, Roof Repairs, Roof Replacement"
685,Mid Peninsula Roofing Inc.,Mid Peninsula Roofing Inc. is a Diamond Certified company with over 30 years of experience in the Bay Area. They offer high-quality craftsmanship and top-of-the-line materials for residential and commercial properties.,"1326 Marsten Rd, Burlingame, CA, 94010",Burlingame,California,CA,94010,650 375 7850,ron@midpenroofing.com,https://www.midpeninsularoofingandsolar.com,,,,,,,"Roofing and solar energy contractors, designers, and consultants. Services include roofing repairs, installations, and solar energy systems."
686,Mid State Roofing,"Mid State Roofing has the capability and experience to handle any job. No job is too big or too small. Mid State Roofing has installed roofing on apartment complexes, large and small Homeowners Associations, condos, townhouses, wineries (Pear Valley to Victor Hugo) and shopping centers which include Vons, Borders and Rite Aid etc. Celebrating over 30 Years! 1995 – 2025 Re-Roofing Specialist! Mid State Roofing has installed roofs on thousands of single family homes. Those homes ranged from standard slopes, flat, very steep and even domes. Personally, working directly with you, the homeowner, is the most rewarding for us. Please allow Mid State Roofing to prove to you that quality integrity and reliability are our priorities. Free Estimates Wade and his team will provide a ""Free Estimate"" for each roofing project. We install all types of roofing, specializing in tile, composition shingles and low slope roofing. Don't hesitate to call for an estimate.","566 Spring Street, Paso Robles, CA 93446",Paso Robles,California,CA,93446,805 23 4054,info@roofwithmidstate.com,https://www.roofwithmidstate.com,,,,,,,"Re-roofing Specialist, New Roof, Residential Roofing, Commercial Roofing, Roof Repair, Roof Inspection, Products: CertainTeed Eagle Roofing Products, US Tile, GAF, Monier Lifetile, Malarkey Roofing Products, MCA Superior Clay Roof Tile, Owens Corning, EnerGen Solar Roofing, Steel Rock Roof Products, ABC Supply Company Inc., Weyrick Lumber, Big Creek Lumber"
687,"Mid-America Electric, Inc.","Mid-America Electric, Inc. offers a diverse background of experience vital to meeting the needs of clients who desire quality, efficiency, and value. We have over 40 years of varied experience in the electrical industry ranging from major commercial projects to serving the needs of individual homeowners.","5950 Old State Road, Imperial, MO, 63052",Imperial,Missouri,MO,63052,636 461 00,admin@midamericaelectric.com,https://www.midamericaelectric.com,,,,,,,"Residential, Commercial, Service, Excavation, Green Solutions"
688,Mid-America Solar,"Mid-America Solar is a company that provides expert knowledge and support for solar projects. They focus on simplifying and optimizing projects through in-house design, engineering, and a tech-enabled process. The company is known for its high-quality installations and has completed nearly 1GW of solar projects.","19399 Brenroy Drive, Marshall, MI, 49068",Marshall,Michigan,MI,49068,877 606 11,office@mid-americasolar.com,https://www.mid-americasolar.com,,,,,,,"Mid-America Solar offers a range of solar services including Ground Mount Systems, Roof Mount Systems, Carports, and Tesla installations. They specialize in optimizing solar projects for commercial, residential, and agricultural markets in the Midwest. Their services also include turnkey construction, project management, and mechanical installation."
689,Midnight Sun Solar,"Support the local economy by investing in our community. We are the only local provider on the Kenai Peninsula. We'll be here for the long haul to perform service and maintenance. We provide Alaskans with outstanding service at a great value. We offer premium products at affordable prices. Our products, service, and experience are unmatched. Let us be your best choice for going solar in Alaska.","42701, Kalifornsky Beach, Rd. A6, Soldotna, Alaska, 99669","Soldotna,Homer",Alaska,AK,"99669, 99603",1 07 782 6366,sales@ak.solar,https://www.ak.solar,,,,,,,"We evaluate your site, goals, and the potential for solar energy to serve you as part of our evaluation. Our goal is to maximize your benefit in the short term and REALIZE your solar potential. We offer turnkey residential, commercial, and off-grid solar systems. With 15+ years experience Midnight Sun Solar delivers state of the art high quality solar. If you have a system that requires maintenance, troubleshooting, or upgrades please contact us to make an appointment. Usually minor adjustments can enhance the performance."
690,midsouthsolarpros.com,"Midsouth Solar Pros is a company that provides solar solutions. Due to a DNS conflict, the website is currently experiencing issues and is resolving to a prohibited IP address, creating a conflict within Cloudflare's system.","2249 Kirby Parkway, Memphis, TN",,Tennessee,TN,38112,555 123 4567,,https://www.midsouthsolarpros.com,,,,,,,Solar products and services
691,"MidStates Energy Co., LLC","MidStates Energy is a national industrial and commercial electrical partner of choice, specializing in delivering expert power systems from start to finish. With a focus on reliability, safety, and customer satisfaction, they ensure peak efficiency for their clients' power systems.","3390 Highway 61, Bloomsdale, MO, 63627",Bloomsdale,Missouri,MO,63627,844 683 3630,info@midstatesenergy.com,https://www.msenergy.com,,,,,,,"Seamless implementation, reliable maintenance, and upgrades for critical power systems. Custom power solutions for industrial and commercial facilities, including transformers, substations, emergency services, and more."
692,Midwest Roof & Solar,"Midwest Roof & Solar is a trusted roofing and solar services company with over 20 years of experience serving the Twin Cities and surrounding areas, including Bloomington, Minneapolis, Plymouth, and St. Paul. They offer a range of services including residential and commercial roofing, windows, siding, gutters, and insurance claim help. The company is known for its high-quality workmanship, legendary customer service, and a 4-step roofing process that ensures a smooth and efficient project completion.","4800 Park Glen Road St., Louis Park, MN, 55416",St. Louis Park,Minnesota,MN,55416,651 383 177,info@midwestroofandsolar.com,https://www.midwestroofandsolar.com,,,,,,,"Roofing, Solar, Windows, Siding, Gutters, Insurance Claim Help"
693,Midwest Solar Installers,"Midwest Solar Installers helps Iowans take control of their energy costs with powerful, affordable solar systems. They believe in the power of solar energy to create a cleaner, more sustainable future for both homes and businesses, and the planet. Their custom solar installations are built around specific energy needs, backed by expert service and local support.","1601 University Ave, Waterloo, IA, 50701",Waterloo,Iowa,IA,50701,31 00 00,info@midwestsolarinstallers.com,https://www.midwestsolarinstallers.com,,,,,,,"Solar installation for homes and businesses, free consultations, financing options, incentives, and quotes."
694,Midwest Solar Power,"Midwest Solar Power LLC was founded in 2009. The company aims to be the premier local solar installer in Dane County by providing honest, high-quality work at a fair price. They focus on understanding the entire solar system and designing solutions that meet individual energy needs.","816 Walsh Rd, Madison, WI, 53714",Madison,Wisconsin,WI,53714,608 354 2063 Ext  4,adam@mwsolarpower.com,https://www.mwsolarpower.com,,,,,,,Residential and Commercial Solar Installation Services. Residential Solar: Roof-mounted and ground mount solar solutions. Commercial Solar: Custom commercial solar installations.
695,Midwest Solars,"Midwest Solars started in 2019 as a dream between friends Tom Wingert, owner of Tecom LLC and Andy Van Roo. The company specializes in solar panel installation and energy storage solutions, with a focus on providing affordable and efficient energy solutions. Midwest Solars has experience working with Tesla Energy and Amazon, and offers services in multiple states across the Midwest region.","910, Countryside Pkwy, Mondovi, Wisconsin, 54755",Mondovi,Wisconsin,WI,54755,1715 210 788,tom@midwestsolars.com,https://www.midwestsolars.com,,,,,,,"Residential and Commercial Solar Panel Installation, Energy Storage, Electric Bill Audit, Solar Services"
696,Midwestern Energy Solutions,"Midwestern Energy Solutions provide expert electrical services to residential and commercial customers in Iowa, Illinois, and Missouri. Our licensed electricians specialize in wiring, repairs, troubleshooting, and renewable energy solutions like solar, generators, and batteries. Our goal is to provide the highest level of customer satisfaction by delivering quality work and lasting solutions for your electrical needs.","11208 143rd Ave, West Burlington, Iowa, 52655",Burlington,Iowa,IA,52655,31 768 8188,info@midwesternenergysolutions.com,https://www.midwesternenergysolutions.com,,,,,,,"Expert electrical services to residential and commercial customers in Iowa, Illinois, and Missouri. Services include wiring, repairs, troubleshooting, and renewable energy solutions like solar, generators, and batteries."
697,Mighty Fine Electric,"This account has expired. If you are the site owner, click below to login.",,,,CA,12345,512 454 2020,,https://www.mightyfineelectric.com,,,,,,,Electric services
698,Mike Currie Electric,Your First Call for all your Electrical Needs in West Central Florida!,"4311 Grand Blvd. New Port Richey, Florida 34652",New Port Richey,Florida,FL,34652,727 842 5723,Schedule@MikeCurrieElectric.com,mikecurrieelectric.com,,,,,,,Your Electrician
699,Mike's Roofing & Building,Mike’s Roofing & Building has been protecting homes since 1972. They offer a wide variety of building services and are experts in roofing and building. They serve the Los Angeles area and aim to ensure client satisfaction.,"16046 Blythe Street, Van Nuys, CA, 91406",Van Nuys,California,CA,91406,1 818 780 8820,info@mikesbuilding.com,https://www.mikesbuilding.com,,,,,,,"Roofing, Building, Solar Panels, Skylights, Commercial Services"
700,Mikes Electric,"Mikes Electric has been servicing the greater Kansas City area since the late 90s. The company is licensed in Kansas and Missouri and offers a 1-year labor guarantee for all services, along with free estimates.","1110 N. 1st Street, Blue Springs, MO, 64014",Independence,Missouri,MO,64055,816 423 3037,mikeselectric3037@gmail.com,https://www.mikeelectrickc.com,,,,,,,"Electrical services including installation and maintenance of electrical systems, plugs, lights, wiring, and whole panel and/or electrical service upgrades."
701,Miklos Electric Inc,Proudly Serving the Palm Coast & Flagler Beach Area For Over 23 Years!,"Palm Coast, FL, 32137",Palm Coast,Florida,FL,32164,386 627 887,MiklosElectric@Att.Net,https://www.mikloselectric.com/,,,,,,,Experienced in all aspects of Residential & Commercial wiring. HOME GENERATORS SURGE PROTECTION ELECTRIC VEHICLE CHARGERS OUTDOOR WIRING SOLAR PV SYSTEMS
702,Millennium Roofing,Millennium Roofing is a trusted roofing company in San Diego with 30 years of industry expertise. We specialize in delivering high-quality roofing solutions tailored to meet your unique needs. Our dedicated team of professionals is committed to excellence in every project we undertake.,"11622 El Camino Real, Suite 100, San Diego, CA, 92130",San Diego,California,CA,92101,760 658 308,info@millenniumroofing.com,https://www.roofingcontractorsandiego.com,,,,,,,"Roof Repair, Roof Replacement, Pressure Washing, Roof Installation, Commercial Roofing"
703,Miller Bros.,"Miller Bros. is a family business founded in 1989 with a passion for design and utility. We provide the best service possible in the construction industry, with a legacy of service and quality, and a commitment to safety.","301, Alan Wood Road, Conshohocken, PA, 19428",Conshohocken,Pennsylvania,PA,19428,610 832 1000,info@millerbros.us,https://www.millerbros.us,,,,,,,"Utility Construction, Renewable Energy, Commercial & Industrial"
704,Miller Electrical Contractors,"Miller Electrical Contractors specializes in delivering top-notch electrical services tailored to the unique needs of various industries. With a steadfast commitment to quality, reliability, and precision, the company ensures seamless execution of projects, prioritizing safety, efficiency, and long-term performance. Established in 2000, Miller Electrical Contractors has an EMR rating of 0.60 and employs 400 certified electricians, with 2 million hours worked without lost time.","613 Shallowford Road, Chattanooga, TN, 37411",Chattanooga,Tennessee,TN,37411,423 68 4141,info@millerelectrical.net,https://www.millerelectrical.net,,,,,,,"Electrical Construction & Pre Construction, 24-7 Electrical Service, Prefabrication, Low, medium & high voltage, Virtual Design & Construction, Mission Critical & new Technologies"
705,Miller Solar,"Miller Solar presents this website to provide information to anyone interested in solar electric. This includes homeowners, installers, designers, and potential customers. Any feedback is appreciated. A Solar Electric system is the most expensive, longest-lasting appliance you will purchase for your home or business. We hope this website gives you some indication of the skill, experience, and expertise we bring to the art and science of Solar Electric. Please review the Portfolio and Practices links. Sincerely, William Miller","17395 Oak Ave, Atascadero, CA, 93422",Not provided,California,CA,93422,1 123 456 780,,https://www.millersolar.com,,,,,,,Installing Solar Since 1983
706,Mimeos Sustainability Consultants,"Mimeos Sustainability presents decades of turn-key solar installation expertise, dedication to an exceptional customer experience, and a passion to spread clean energy independence for California.","4109 Clayton Ave, Los Angeles, CA, 90027",Los Angeles,California,CA,90027,1 323 388 3386,gosolar@mimeos.net,https://www.mimeos.net,,,,,,,"Installers of Solar Energy, Battery Storage, and Energy Efficiency For Your Home, Business, or Enterprise"
707,"Minich and Sons Construction, Inc.","Minich and Sons Construction, Inc. is a company based in Southern California that specializes in solar photovoltaic (PV) systems. They offer custom-designed solutions for both residential and commercial properties, with a strong focus on customer needs and satisfaction. The company aims to provide a smooth and successful experience for customers investing in solar energy, handling everything from installation to permitting and utility company coordination.","2273 1/2 Mother Grundy Truck Trail, Jamul, CA, 91935",Jamul,California,CA,91935,61 742 8887,,https://www.turnsunintosolar.com,,,,,,,Custom designed Solar photovoltaic (PV) systems for homes or businesses in Southern California.
708,Minimise Global,"Minimise Global is an Energy Management and Conservation Services Company that specializes in Energy Efficiency as a Service (EEaaS); industry-disrupting financial solutions that both enable large communities and organizations to upgrade their efficiency at no cost, but also democratized the ability, for example, of smaller school districts and municipalities to get the same level of expertise, technology, and upgrades.Leaving no stone unturned, Minimise has also created a program specifically designed to get utility and energy companies into the game to reduce carbon and save energy.","2202 N. Westshore Blvd., Suite 200, Tampa, FL, 33607",Tampa,Florida,FL,33607,1 888 841 1840,info@minimiseglobal.com,https://www.minimiseglobal.com,,,,,,,"Energy Management and Conservation Services Company that specializes in Energy Efficiency as a Service (EEaaS); industry-disrupting financial solutions that both enable large communities and organizations to upgrade their efficiency at no cost, but also democratized the ability, for example, of smaller school districts and municipalities to get the same level of expertise, technology, and upgrades.Leaving no stone unturned, Minimise has also created a program specifically designed to get utility and energy companies into the game to reduce carbon and save energy."
709,Mirador Energy,"Mirador Energy is a locally owned and operated solar energy contractor dedicated to bringing renewable energy solutions to Fairfield, CA, and surrounding areas. As specialists in solar, energy storage, and efficiency, we offer a comprehensive range of services including Photovoltaic Solar, Pool Solar, Roofing, HVAC, Tankless Water Heaters, and other energy-efficient upgrades. Our mission is to make sustainable energy accessible, helping you reduce your carbon footprint while lowering utility costs. By choosing Mirador Energy, you're investing in a greener future for our community and the planet.","1652 West Texas St, Suite 101A, Fairfield, CA, 94534",Fairfield,California,CA,94534,707 301 833,sample@email.com,https://www.miradorenergy.com,,,,,,,"Solar Panel Installation Services at Affordable Prices in Vacaville, Fairfield, Solano County, Napa County, and the rest of CA"
710,Mirasol Solar,"Mirasol Solar is a family-owned solar company with over 4 decades of experience, based in Sarasota, Florida. They are known for their expertise in solar energy solutions and are certified to represent top solar products from REC and Maxeon Solar Technologies.","5638 Jason Lee Place, Sarasota, FL, 34233",Sarasota,Florida,FL,34233,41 484 2447,info@mirasolsolar.com,https://www.mirasolsolar.com,,,,,,,"Mirasol Solar offers comprehensive solar energy solutions for residential and commercial customers, including solar PV, storage, EV charging, and water heating systems. They also provide energy management systems and are certified Tesla Powerwall installers."
711,Mission Energy,"Mission Energy is dedicated to bringing value into the lives of their customers, employees, and community. They aim to help clients take control of their energy expenses by switching to solar power and breaking free from dependence on utility companies.","Monument, CO, 80132",Colorado Springs,Colorado,CO,80916,1 71 357 5007,info@missionenergy.solar,https://www.missionenergy.solar,,,,,,,"Mission Energy offers a range of energy-saving solutions including residential and commercial solar power systems, as well as battery storage solutions. They provide services to help homeowners and businesses reduce their energy costs, increase energy independence, and contribute to a cleaner environment."
712,Mission Green Solar LLC,"We started business in Maryland, USA with a focus on customer service and personal attention to the unique needs of each of our customers. Helping our customer’s help the planet has been a great way to get the business off the ground. We are a renewable energy and energy efficiency company that believes in bringing value to businesses through the streamlining of processes, new technologies and a deep understanding of market needs.","8623 Hickory Hills Ln, Laurel, MD, 20723",Maryland,Maryland,MD,20723,1434 608 8764,info@missiongreensolar.com,https://www.missiongreensolar.com,,,,,,,"Solar solutions, Solar Installation, EV Charging, Utility Rebate Management, Solar Project Management, O & M and Optimization, Environmental Testing, LEED & Envision Certification, Projects, Free Solar Quote"
713,BRS Roofing Supply,"BRS Roofing Supply is a local and family-owned company with over 15 years of experience in the construction industry. Based in Atlanta, GA, they focus on providing high-quality products and excellent service at affordable prices. They are certified with ISO 9001:2015 and aim to be the preferred supplier for roofing and siding projects in Georgia.","2830 Simpson Circle, Norcross, GA, 30071",Atlanta,Georgia,GA,30071,1 470  7,info@brssupply.us,https://www.brssupply.us,,,,,,,"BRS Roofing Supply offers a wide range of roofing and siding materials, including metal roofing, roof shingles, commercial roofing supplies, fiber cement siding, and solar panels. They provide products from top brands such as CertainTeed, GAF, IKO, TAMKO, ATLAS, and OWENS CORNING. Their services include roof repairs, installations, and supplies for both residential and commercial projects. They also offer tools, dumpster trailers for rent, and expert installation services."
714,Mission Solar Electric,Mission Solar Electric is a California Licensed Electrical Contractor (C-10 #905059) that specializes in Solar Electric. The company is locally owned and operated by James Pinon who has been in the Solar Industry since 2003. Mission Solar Electric has installed hundreds of quality systems all over San Diego County totaling over 2.3 Megawatts since 2007.,"4153 Falcon St, San Diego, CA, 92103",San Diego,California,CA,92101,61 546 5517,mse@cox.net,https://www.missionsolarelectric.com,,,,,,,"Solar Electric installations, servicing, and retrofitting existing systems, including Battery Retrofits. Repair and retrofits on Systems not originally installed by Mission Solar Electric."
715,Mississippi Green Power LLC,"Mississippi Green Power LLC is a company that provides green energy solutions including solar panels, wind power, and geothermal energy. They offer residential, commercial, and agricultural green power systems. The company aims to save customers money on their power bills and believes in the future of green energy solutions.","Tupelo, MS",Tupelo,Mississippi,MS,,662 687 1768,sales@mississippigreenpower.com,https://www.mississippigreenpower.com,,,,,,,"Solar Panels, Wind Turbines, Solar Lights, Geothermal Heat and Air Systems, Solar Generators, Solar Lights, Solar Cell Phone Chargers, Solar Food Refrigerators, Solar Wall Lights, Solar Hybrid Batteries, Solar Spark Lights, Solar Powered Cookers and Stoves"
716,Mississippi Solar LLC,"Mississippi Solar, LLC is a Mississippi owned and operated Licensed Solar Installer registered in Mississippi as a Residential/Commercial Electrical, Plumbing, and Solar & Wind Contractor, License No. 18200-MC. We have been Making Mississippi Solar since 2009 by helping customers like you save money and increase their energy independence.","307 Vance Road, Eupora, MS, 39744",Eupora,Mississippi,MS,39744,601 656 6161,info@mssolar.net,https://www.mssolar.net,,,,,,,"Mississippi Solar, LLC is a Mississippi owned and operated Licensed Solar Installer registered in Mississippi as a Residential/Commercial Electrical, Plumbing, and Solar & Wind Contractor, License No. 18200-MC. We have been Making Mississippi Solar since 2009 by helping customers like you save money and increase their energy independence. OUR MISSION ""Helping customers achieve their energy independence, sustainability, and back-up power needs."" Mississippi Solar, LLC is the first licensed electrical contractor in the state to receive the specialty wind & solar classification. We design and install complete, turn-key solar PV and backup power solutions to meet your needs, whether on-grid or off. We are NABCEP certified and factory trained, certified installers for top name brands like REC Solar, Enphase, Schneider Electric, Outback Power, Generac and SnapNrack to name a few. We are also a Power Pro Elite Plus authorized sales, service, and warranty dealer for Generac Home Standby generators, and provide installation of various brands of Electric Vehicle charging stations."
717,"Mitchell Solar Solutions, LLC","Mitchell Solar Solutions, LLC is proud to serve the greater St. Petersburg area, as well as all of Pinellas, Hillsborough, Pasco, and Manatee counties. We are third generation Florida residents and have strong roots in the community. Not only are we a licensed solar contractor, but we are also a licensed roofing contractor and a licensed general contractor. Our contractor certifications allow us to provide you with a full home solution. We provide FREE full home energy evaluations to show you how to get the most out of today's cutting-edge solar technology. We can also turn your home into a modern, energy efficient green home. This will further reduce future energy costs and put savings back into your wallet.","111 2nd Ave. NE, Suite 360, St. Petersburg, FL, 33713",St. Petersburg,Florida,FL,33713,727 623 0053,mitchellsolarsolutionsllc@gmail.com,https://www.mitchellsolarsolutionsllc.com,,,,,,,"Solar Panel Installation, Energy Efficient Roofing, Solar Tax Credit, Solar Myths & Facts, Solar Benefits, Financing"
718,Mithani Energy,"Mithani Energy is an Electricity and Solar Installation company with 20 years of experience, providing affordable and reliable renewable power solutions for both residential and commercial clients.","1001 Fuller Wiser Rd, #1416, Euless, TX, 76039",Euless,Texas,TX,76039,1 214 724 4818,,https://www.mithanienergy.com,,,,,,,Electricity and Solar Installation services
719,MJR Electric,"Established in 1983 by brothers Mike and Mark Rauschnot, MJR Electric has evolved from a small family-run business into a leader in Silicon Valley’s electrical contracting industry. Founded on a commitment to excellence, we deliver reliable, high-quality solutions tailored for commercial and industrial clients, serving the tech-driven region for over four decades. Our skilled electricians bring unmatched expertise to every project, ensuring safety and precision across thousands of installations—from clean rooms to innovative EV charging systems. With 25+ years of hands-on experience, we specialize in electrical construction, design-build, and high-end tenant improvements, adapting to technological advancements with ease. Despite our growth, we cherish the family-run treatment that sets us apart, offering a personal, client-focused approach trusted by Bay Area businesses. At MJR Electric, we’re dedicated to innovation, sustainability, and exceeding expectations with every connection we make.","PO Box 668, Morgan Hill, CA 95038",Morgan Hill,California,CA,95038,123 456 780,info@mjrelectric.com,https://www.mjrelectric.com,,,,,,,"Over 40 years of family-run expertise, delivering top-tier electrical solutions to Silicon Valley’s commercial leaders"
720,Morrow-Meadows Corporation,"Morrow-Meadows Corporation is a full-service electrical contracting company incorporated in 1964, providing solutions to clients in a wide range of industries along the West Coast. The company is known for its commitment to safety, quality, and customer service.","231 Benton Court, City Of Industry, CA, 91789",City of Industry,,NY,91789,0 58 7700,info@morrow-meadows.com,https://www.morrow-meadows.com,,,,,,,"Electrical contracting services including commercial construction, industrial construction, instrumentation & controls, energy services, low voltage systems, design build, design assist, prefab BIM, preconstruction, lighting control, contract delivery, LEED certification"
721,MMI Utility Construction,"MMI Utility Construction is a leader in underground utility construction. Established in 2007, the company has completed 2,858 projects and installed 678 miles. They have won 26 awards and focus on safety with team members completing 5 separate safety classes as part of the onboarding process. Final use customers include the Dept of Air Force, US Army, FBI, Walmart, Nissan, multiple local and regional utility providers, State of Alabama, local Municipal providers, Turner Construction, Mortenson Construction, CCIL, ATT, T-Mobile, Verizon, Unity, Comcast, and many more.","301 Brown St. NW, Hunstville, Al, 35805",Huntsville,Alabama,AL,35805,1 205 234 30,info@mmiuc.com,https://www.mmiuc.com,,,,,,,"Directional Drilling, Trenching, Plow, Auger Bore, Hydrovac, Power and Communication Line and Related Structures Construction, Water and Sewer Line and Related Structures Construction, Gas Pipeline and outside plant and Related Structures Construction, Horizontal Directional Drilling / Boring Contractor, Trenching & Excavation, Construction Solutions, Power / EV / Solar, Water / Sewer / Gas, Telecom / Data"
722,MN Solar,"MN Solar serves in a 2-hour radius of the Greater Twin Cities area, providing fast, responsive service designed for local needs. They offer reliable solar solutions with a focus on clean energy, fair pricing, and expert installation.","9841 13th Ave N, Plymouth, Minnesota, 55441",Plymouth,Minnesota,MN,55441,320 444 566,,https://www.mnsolarandmore.com,,,,,,,"Solar Installation Services, Solar Systems, Battery Installation, Removal and Reinstallation, Critter Guards, Generators, EV Chargers"
